SENARYO,VERSION,TRETE,KUR,ACENTE_NO,BRANS_KODU,SEGMENT,TARIFE,YIL,TARIH,HEDEF,DATA_KAYNAK,KAYNAK_KODU,SUBE_KOD,LOB,ACENTE_ADI,TRAFIK_HAVUZ,YENI_YENILEME
,,,,8483,516,PERSONAL LINES,K60,2024,31.01.2024,"10768,36",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,998,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,526,SMALL BUSINESS,Z02,2024,31.01.2024,"1368,63",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,502,SMALL BUSINESS,Y70,2024,31.01.2024,"3677091,04",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,592,MIDDLE MARKET,D42,2024,31.01.2024,"5474,51",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,510,SMALL BUSINESS,N21,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,523,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y15,2024,31.01.2024,"684,31",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,568,SMALL BUSINESS,M02,2024,31.01.2024,"1368,63",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,521,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,510,PERSONAL LINES,N21,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,501,SMALL BUSINESS,Y70,2024,31.01.2024,"880430,25",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,588,MIDDLE MARKET,F16,2024,31.01.2024,"684,31",Acente-Bireysel,9,1,Directors And Officers (incl. PTL/ EPL),,,Yeni
,,,,8483,520,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,520,MIDDLE MARKET,D41,2024,31.01.2024,"2052,94",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,538,MIDDLE MARKET,F17,2024,31.01.2024,"9580,40",Acente-Bireysel,9,1,Professional Indemnity,,,Yeni
,,,,8483,568,SMALL BUSINESS,Y70,2024,31.01.2024,"103580,03",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,524,MIDDLE MARKET,Y62,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,510,MIDDLE MARKET,N21,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,565,SMALL BUSINESS,Y70,2024,31.01.2024,"103580,03",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,SMALL BUSINESS,Y70,2024,31.01.2024,"103580,03",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,521,MIDDLE MARKET,D42,2024,31.01.2024,"1368,63",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,560,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Legal Expenses,,,Yeni
,,,,8483,501,PERSONAL LINES,Y58,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,MIDDLE MARKET,M02,2024,31.01.2024,"1368,63",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,524,SMALL BUSINESS,Y70,2024,31.01.2024,"51790,01",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.01.2024,"554390,21",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,570,MIDDLE MARKET,M01,2024,31.01.2024,"1368,63",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,572,MIDDLE MARKET,M04,2024,31.01.2024,"9580,40",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,565,MIDDLE MARKET,M04,2024,31.01.2024,"32847,09",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.01.2024,"96915,22",Acente-Bireysel,9,1,Motor All Others,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,31.01.2024,"61598,91",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yenileme
,,,,8483,519,PERSONAL LINES,CF4,2024,31.01.2024,"684,31",Acente-Bireysel,9,1,Accident,,,Yeni
,,,,8483,990,PERSONAL LINES,DSK,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,502,MIDDLE MARKET,Y62,2024,31.01.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,523,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,560,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Legal Expenses,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,28.02.2024,"40164,01",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yenileme
,,,,8483,502,MIDDLE MARKET,Y62,2024,28.02.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,502,SMALL BUSINESS,Y70,2024,28.02.2024,"8485,71",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,568,SMALL BUSINESS,Y70,2024,28.02.2024,"239,03",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,28.02.2024,"101760,99",Acente-Bireysel,9,1,Motor All Others,,,Yeni
,,,,8483,524,MIDDLE MARKET,Y62,2024,28.02.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,SMALL BUSINESS,Y70,2024,28.02.2024,"239,03",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,28.02.2024,"361476,06",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,501,SMALL BUSINESS,Y70,2024,28.02.2024,"2031,79",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,520,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,998,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,28.02.2024,"11306,78",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yeni
,,,,8483,524,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,28.02.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,565,SMALL BUSINESS,Y70,2024,28.02.2024,"239,03",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,521,SMALL BUSINESS,Y70,2024,28.02.2024,"119,52",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,588,MIDDLE MARKET,F16,2024,29.02.2024,"384,04",Acente-Bireysel,9,1,Directors And Officers (incl. PTL/ EPL),,,Yeni
,,,,8483,520,MIDDLE MARKET,D41,2024,29.02.2024,"1152,12",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,565,MIDDLE MARKET,M04,2024,29.02.2024,"18433,98",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,572,MIDDLE MARKET,M04,2024,29.02.2024,"5376,58",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,510,PERSONAL LINES,N21,2024,29.02.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,570,MIDDLE MARKET,M01,2024,29.02.2024,"768,08",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y15,2024,29.02.2024,"384,04",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,592,MIDDLE MARKET,D42,2024,29.02.2024,"3072,33",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,519,PERSONAL LINES,CF4,2024,29.02.2024,"384,04",Acente-Bireysel,9,1,Accident,,,Yeni
,,,,8483,568,SMALL BUSINESS,M02,2024,29.02.2024,"768,08",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,521,MIDDLE MARKET,D42,2024,29.02.2024,"768,08",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,526,SMALL BUSINESS,Z02,2024,29.02.2024,"768,08",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,538,MIDDLE MARKET,F17,2024,29.02.2024,"5376,58",Acente-Bireysel,9,1,Professional Indemnity,,,Yeni
,,,,8483,510,SMALL BUSINESS,N21,2024,29.02.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,510,MIDDLE MARKET,N21,2024,29.02.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,501,PERSONAL LINES,Y58,2024,29.02.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,990,PERSONAL LINES,DSK,2024,29.02.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,MIDDLE MARKET,M02,2024,29.02.2024,"768,08",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,502,MIDDLE MARKET,Y62,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.03.2024,"396039,52",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,568,SMALL BUSINESS,M02,2024,31.03.2024,"392,39",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,510,PERSONAL LINES,N21,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,524,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y15,2024,31.03.2024,"196,19",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,510,MIDDLE MARKET,N21,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,565,MIDDLE MARKET,M04,2024,31.03.2024,"9417,26",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,568,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,565,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,31.03.2024,"11872,12",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yeni
,,,,8483,502,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,571,MIDDLE MARKET,M02,2024,31.03.2024,"392,39",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,501,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,521,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,31.03.2024,"106849,04",Acente-Bireysel,9,1,Motor All Others,,,Yeni
,,,,8483,516,PERSONAL LINES,K60,2024,31.03.2024,"44004,39",Acente-Bireysel,9,1,Motor 3rd Party Liability,,,Yenileme
,,,,8483,998,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,570,MIDDLE MARKET,M01,2024,31.03.2024,"392,39",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,501,PERSONAL LINES,Y58,2024,31.03.2024,"7918,94",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,526,SMALL BUSINESS,Z02,2024,31.03.2024,"392,39",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,520,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,572,MIDDLE MARKET,M04,2024,31.03.2024,"2746,70",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,571,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property Engineering Lines,,,Yeni
,,,,8483,538,MIDDLE MARKET,F17,2024,31.03.2024,"2746,70",Acente-Bireysel,9,1,Professional Indemnity,,,Yeni
,,,,8483,588,MIDDLE MARKET,F16,2024,31.03.2024,"196,19",Acente-Bireysel,9,1,Directors And Officers (incl. PTL/ EPL),,,Yeni
,,,,8483,520,MIDDLE MARKET,D41,2024,31.03.2024,"588,58",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,560,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Legal Expenses,,,Yeni
,,,,8483,524,MIDDLE MARKET,Y62,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,523,SMALL BUSINESS,Y70,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,510,SMALL BUSINESS,N21,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Marine Aviation & Transport,,,Yeni
,,,,8483,592,MIDDLE MARKET,D42,2024,31.03.2024,"1569,54",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,521,MIDDLE MARKET,D42,2024,31.03.2024,"392,39",Acente-Bireysel,9,1,Liability - Primary Products,,,Yeni
,,,,8483,990,PERSONAL LINES,DSK,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,519,PERSONAL LINES,CF4,2024,31.03.2024,"196,19",Acente-Bireysel,9,1,Accident,,,Yeni
,,,,8483,501,MIDDLE MARKET,Y62,2024,31.03.2024,"0,00",Acente-Bireysel,9,1,Property,,,Yeni
,,,,8483,517,PERSONAL LINES,K60,2024,30.04.2024,"302821,46",Acente-Bireysel,9,1,Motor All Others,,,Yenileme
,,,,8483,520,MIDDLE MARKET,D41,2024,30.04.2024,"598,90",Acente-Bireysel,9,1,Property,,,Yeni
